schema_version,protocol_hash,scenario,seed,sample,dimension,rank,statistic,log_information_volume,objective,parameter_error,wall_seconds
2.0,13066be19a18391e,early_seir_infected_only,146,calibration,3,2,28.93206042176351,5.767770820637592,-44.05917030038636,1.5999872767209629,4.994089499989059
2.0,13066be19a18391e,early_seir_infected_only,147,calibration,3,2,129.70102974788256,4.113619802152494,-37.19258624806497,2.9632559964116707,4.916206599998986
2.0,13066be19a18391e,early_seir_infected_only,148,calibration,3,2,81.52996893819514,8.58831995800824,-43.373234424251976,1.6956611145546618,4.8702128999866545
2.0,13066be19a18391e,early_seir_infected_only,149,calibration,3,2,24.86083204769309,5.66220691555362,-40.89188949655943,1.6806699910579739,4.74574169999687
2.0,13066be19a18391e,early_seir_infected_only,150,calibration,3,2,38.94952416186938,6.1586674762102875,-39.19772691830654,1.6841350667792285,4.799863699998241
2.0,13066be19a18391e,early_seir_infected_only,151,calibration,3,3,1.1181870324491108,6.603376011524758,-43.25826373149232,0.6182622939048749,4.713430400006473
2.0,13066be19a18391e,early_seir_infected_only,152,calibration,3,2,96.73090522328977,4.172250223598017,-32.64765238535368,2.684591226325436,4.817246699996758
2.0,13066be19a18391e,early_seir_infected_only,153,calibration,3,3,2.6282298617271334,2.4891100652336693,-43.494552105354714,1.0426606918272885,4.716127499996219
2.0,13066be19a18391e,early_seir_infected_only,154,calibration,3,2,29.37682028941564,5.69469501708657,-37.76708997577147,1.3254062802545534,4.486864799982868
2.0,13066be19a18391e,early_seir_infected_only,155,calibration,3,3,13.813698397142922,7.511455929150467,-44.20712454436883,1.032749155321794,4.297810999996727
2.0,13066be19a18391e,early_seir_infected_only,156,calibration,3,3,0.4546634834793555,5.797515942215883,-42.18307482289164,0.44011342317152335,4.2624743999913335
2.0,13066be19a18391e,early_seir_infected_only,157,calibration,3,2,83.5627397517334,7.310898636616137,-40.70364883894399,1.9532943797597508,4.2532622999860905
2.0,13066be19a18391e,early_seir_infected_only,158,calibration,3,3,10.185277099342116,7.163270692677835,-42.30369810138811,1.207207655305125,3.237609400006477
2.0,13066be19a18391e,early_seir_infected_only,159,calibration,3,3,55.96972868408892,8.033643107981584,-43.29908625808542,1.1360971581941313,3.0909882000123616
2.0,13066be19a18391e,early_seir_infected_only,160,calibration,3,2,11.270945229845033,4.497485491419694,-38.46199429286436,1.310719996939745,3.069778499979293
2.0,13066be19a18391e,early_seir_infected_only,161,calibration,3,2,11.852166463900467,6.38990248388452,-40.83546690473446,1.3822820948896526,3.181721800006926
2.0,13066be19a18391e,early_seir_infected_only,162,calibration,3,3,0.25052718740021573,6.298472190794777,-41.57402007008621,0.5433669246696208,3.070013199991081
2.0,13066be19a18391e,early_seir_infected_only,163,calibration,3,2,10.254828364432136,8.472418502437252,-38.748854278946986,1.2314095781750072,2.98511530001997
2.0,13066be19a18391e,early_seir_infected_only,164,calibration,3,3,37.41478998643767,7.363640238903038,-40.7038166478701,1.1650726395000643,3.085594599979231
2.0,13066be19a18391e,early_seir_infected_only,165,calibration,3,2,43.65324441076126,8.499851353710582,-38.963727971854226,1.4839930960421472,3.1535294000059366
2.0,13066be19a18391e,early_seir_infected_only,166,calibration,3,2,12.354868781762221,6.8020954893323635,-41.68908373530889,1.2070798685919295,2.960275699995691
2.0,13066be19a18391e,early_seir_infected_only,167,calibration,3,2,34.24722710658435,4.57382336134239,-38.87477436402429,1.7312467345611864,3.0477811000018846
2.0,13066be19a18391e,early_seir_infected_only,168,calibration,3,2,14.569034021311648,5.982118713299559,-42.691573148332445,1.4066837973084423,3.0266501999867614
